Reference	ID	Tags	OrigWords	Occurrence	TWLink	selections	comments	bookmarks	verseEdits	invalidated
1:1	sda6	kt	ἀπόστολος	1	rc://*/tw/dict/bible/kt/apostle			0	0	0
1:1	n9wu	kt	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ			0	0	0
1:1	dz84	kt	ἐκλεκτῶν	1	rc://*/tw/dict/bible/kt/elect			0	0	0
1:1	z5q5	kt	πίστιν	1	rc://*/tw/dict/bible/kt/faith			0	0	0
1:1	pmq8	kt	Θεοῦ	1	rc://*/tw/dict/bible/kt/god			0	0	0
1:1	f44k	kt	Θεοῦ	2	rc://*/tw/dict/bible/kt/god			0	0	0
1:1	qktr	kt	εὐσέβειαν	1	rc://*/tw/dict/bible/kt/godly			0	0	0
1:1	nze4	kt	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus			0	0	0
1:1	trr8	names	Παῦλος	1	rc://*/tw/dict/bible/names/paul			0	0	0
1:1	tr4u	other	ἐπίγνωσιν	1	rc://*/tw/dict/bible/other/know			0	0	0
1:1	zfgc	other	δοῦλος	1	rc://*/tw/dict/bible/other/servant			0	0	0
1:2	rjm7	kt	αἰωνίου	1	rc://*/tw/dict/bible/kt/eternity			0	0	0
1:2	hmks	kt	Θεὸς	1	rc://*/tw/dict/bible/kt/god			0	0	0
1:2	pdm7	kt	ἐλπίδι	1	rc://*/tw/dict/bible/kt/hope			0	0	0
1:2	sht2	kt	ἐπηγγείλατο	1	rc://*/tw/dict/bible/kt/promise			0	0	0
1:2	xut8	other	χρόνων	1	rc://*/tw/dict/bible/other/time			0	0	0
1:3	uj2x	kt	Θεοῦ	1	rc://*/tw/dict/bible/kt/god			0	0	0
1:3	snb7	kt	Σωτῆρος	1	rc://*/tw/dict/bible/kt/savior			0	0	0
1:3	yu3w	kt	ἐπιστεύθην	1	rc://*/tw/dict/bible/kt/trust			0	0	0
1:3	uz9x	kt	λόγον	1	rc://*/tw/dict/bible/kt/wordofgod			0	0	0
1:3	bgv4	other	κηρύγματι	1	rc://*/tw/dict/bible/other/preach			0	0	0
1:3	dhdb	other	καιροῖς	1	rc://*/tw/dict/bible/other/time			0	0	0
1:4	f6ja	kt	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ			0	0	0
1:4	c2fm	kt	πίστιν	1	rc://*/tw/dict/bible/kt/faith			0	0	0
1:4	new9	kt	Θεοῦ Πατρὸς	1	rc://*/tw/dict/bible/kt/godthefather			0	0	0
1:4	khr6	kt	χάρις	1	rc://*/tw/dict/bible/kt/grace			0	0	0
1:4	jgfj	kt	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus			0	0	0
1:4	mvwu	kt	Σωτῆρος	1	rc://*/tw/dict/bible/kt/savior			0	0	0
1:4	w4h6	names	Τίτῳ	1	rc://*/tw/dict/bible/names/titus			0	0	0
1:4	es8n	other	εἰρήνη	1	rc://*/tw/dict/bible/other/peace			0	0	0
1:5	ymd3	names	Κρήτῃ	1	rc://*/tw/dict/bible/names/crete			0	0	0
1:5	znyx	other	πρεσβυτέρους	1	rc://*/tw/dict/bible/other/elder			0	0	0
1:5	a98w	other	καταστήσῃς	1	rc://*/tw/dict/bible/other/ordain			0	0	0
1:6	rbuz	kt	ἀνέγκλητος	1	rc://*/tw/dict/bible/kt/blameless			0	0	0
1:6	nsxd	kt	πιστά	1	rc://*/tw/dict/bible/kt/faithful			0	0	0
1:6	evqx	other	ἀνυπότακτα	1	rc://*/tw/dict/bible/other/rebel			0	0	0
1:7	wejy	kt	ἀνέγκλητον	1	rc://*/tw/dict/bible/kt/blameless			0	0	0
1:7	mm9y	kt	Θεοῦ	1	rc://*/tw/dict/bible/kt/god			0	0	0
1:7	wqsh	other	ὡς	1	rc://*/tw/dict/bible/other/like			0	0	0
1:7	nmsw	other	οἰκονόμον	1	rc://*/tw/dict/bible/other/manager			0	0	0
1:7	g6v8	other	ἐπίσκοπον	1	rc://*/tw/dict/bible/other/overseer			0	0	0
1:7	rfj7	other	πάροινον	1	rc://*/tw/dict/bible/other/wine			0	0	0
1:8	ufbw	kt	φιλάγαθον	1	rc://*/tw/dict/bible/kt/good			0	0	0
1:8	pcs8	kt	ὅσιον	1	rc://*/tw/dict/bible/kt/holy			0	0	0
1:8	r9c9	kt	δίκαιον	1	rc://*/tw/dict/bible/kt/righteous			0	0	0
1:8	qfud	other	ἐγκρατῆ	1	rc://*/tw/dict/bible/other/selfcontrol			0	0	0
1:9	x67x	kt	πιστοῦ	1	rc://*/tw/dict/bible/kt/faithful			0	0	0
1:9	nngz	other	παρακαλεῖν	1	rc://*/tw/dict/bible/other/courage			0	0	0
1:9	c9tq	other	διδασκαλίᾳ	1	rc://*/tw/dict/bible/other/doctrine			0	0	0
1:9	ss39	other	ἐλέγχειν	1	rc://*/tw/dict/bible/other/rebuke			0	0	0
1:10	z5xs	kt	περιτομῆς	1	rc://*/tw/dict/bible/kt/circumcise			0	0	0
1:10	ucvu	other	φρεναπάται	1	rc://*/tw/dict/bible/other/deceive			0	0	0
1:10	p8yj	other	ἀνυπότακτοι	1	rc://*/tw/dict/bible/other/rebel			0	0	0
1:10	k8ta	other	ματαιολόγοι	1	rc://*/tw/dict/bible/other/vain			0	0	0
1:11	n4aq	other	οἴκους	1	rc://*/tw/dict/bible/other/household			0	0	0
1:11	wjg8	other	κέρδους	1	rc://*/tw/dict/bible/other/profit			0	0	0
1:11	bjyb	other	αἰσχροῦ	1	rc://*/tw/dict/bible/other/shame			0	0	0
1:12	wgym	kt	κακὰ	1	rc://*/tw/dict/bible/kt/evil			0	0	0
1:12	b5s5	kt	προφήτης	1	rc://*/tw/dict/bible/kt/prophet			0	0	0
1:12	myt5	names	Κρῆτες	1	rc://*/tw/dict/bible/names/crete			0	0	0
1:12	ecyq	other	θηρία	1	rc://*/tw/dict/bible/other/beast			0	0	0
1:13	s5qd	kt	πίστει	1	rc://*/tw/dict/bible/kt/faith			0	0	0
1:13	dsy8	kt	μαρτυρία	1	rc://*/tw/dict/bible/kt/testimony			0	0	0
1:13	crce	other	ἔλεγχε	1	rc://*/tw/dict/bible/other/rebuke			0	0	0
1:14	we3r	kt	Ἰουδαϊκοῖς	1	rc://*/tw/dict/bible/kt/jew			0	0	0
1:15	y2bm	kt	ἀπίστοις	1	rc://*/tw/dict/bible/kt/believe			0	0	0
1:15	unp8	kt	συνείδησις	1	rc://*/tw/dict/bible/kt/conscience			0	0	0
1:15	gpvr	kt	καθαρὰ	1	rc://*/tw/dict/bible/kt/purify			0	0	0
1:15	hr5s	kt	καθαροῖς	1	rc://*/tw/dict/bible/kt/purify			0	0	0
1:15	vg9y	kt	καθαρόν	1	rc://*/tw/dict/bible/kt/purify			0	0	0
1:15	mn4k	other	μεμιαμμένοις	1	rc://*/tw/dict/bible/other/corrupt			0	0	0
1:15	nvgm	other	μεμίανται	1	rc://*/tw/dict/bible/other/corrupt			0	0	0
1:15	qzbf	other	νοῦς	1	rc://*/tw/dict/bible/other/mind			0	0	0
1:16	rjjt	kt	Θεὸν	1	rc://*/tw/dict/bible/kt/god			0	0	0
1:16	yxnn	kt	ἀγαθὸν	1	rc://*/tw/dict/bible/kt/good			0	0	0
